Tên công ty,Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh,,,,,,
Tên báo cáo,Lịch sử giá,,,,,,
Ngày tải,24/03/2026,,,,,,
,,,,,,,
NGÀY,GIÁ MỞ CỬA,GIÁ CAO NHẤT,GIÁ THẤP NHẤT,GIÁ ĐÓNG CỬA,THAY ĐỔI GIÁ,% THAY ĐỔI,KHỐI LƯỢNG
24/03/2026,"24,500.00","24,900.00","24,500.00","24,500.00",200.00,0.01,"8,199,500.00"
23/03/2026,"24,750.00","24,750.00","23,800.00","24,300.00",-700.00,-0.03,"24,481,200.00"
20/03/2026,"25,500.00","25,500.00","24,900.00","25,000.00",-650.00,-0.03,"12,201,400.00"
19/03/2026,"25,500.00","25,700.00","25,250.00","25,650.00",-50.00,0.00,"13,069,900.00"
18/03/2026,"25,700.00","26,000.00","25,250.00","25,700.00",0.00,0.00,"9,744,800.00"
17/03/2026,"25,700.00","26,200.00","25,650.00","25,700.00",100.00,0.00,"11,718,400.00"
16/03/2026,"25,500.00","25,650.00","25,200.00","25,600.00",0.00,0.00,"6,905,100.00"
13/03/2026,"25,300.00","25,750.00","25,200.00","25,600.00",-100.00,0.00,"8,896,300.00"
12/03/2026,"25,300.00","25,750.00","25,100.00","25,700.00",-50.00,0.00,"11,637,800.00"
11/03/2026,"25,150.00","26,000.00","24,950.00","25,750.00",600.00,0.02,"14,822,800.00"
10/03/2026,"25,000.00","25,750.00","24,600.00","25,150.00","1,050.00",0.04,"24,488,200.00"
09/03/2026,"24,100.00","25,500.00","24,100.00","24,100.00","-1,800.00",-0.07,"28,176,000.00"
06/03/2026,"25,900.00","26,200.00","25,600.00","25,900.00",-50.00,0.00,"11,697,700.00"
05/03/2026,"26,500.00","26,600.00","25,950.00","25,950.00",-400.00,-0.02,"18,266,100.00"
04/03/2026,"26,400.00","26,600.00","25,700.00","26,350.00",-150.00,-0.01,"17,900,500.00"
03/03/2026,"27,000.00","27,100.00","26,300.00","26,500.00",-450.00,-0.02,"19,337,900.00"
02/03/2026,"27,300.00","27,650.00","26,950.00","26,950.00","-1,000.00",-0.04,"23,024,400.00"
27/02/2026,"28,400.00","28,400.00","27,950.00","27,950.00",-450.00,-0.02,"13,120,700.00"
26/02/2026,"28,500.00","28,550.00","27,950.00","28,400.00",-50.00,0.00,"14,130,400.00"
25/02/2026,"28,500.00","28,850.00","28,200.00","28,450.00",-50.00,0.00,"18,493,700.00"
24/02/2026,"28,100.00","28,500.00","27,750.00","28,500.00",300.00,0.01,"22,582,600.00"
23/02/2026,"28,300.00","28,500.00","28,050.00","28,200.00",0.00,0.00,"10,138,800.00"
13/02/2026,"27,750.00","28,200.00","27,700.00","28,200.00",350.00,0.01,"14,478,600.00"
12/02/2026,"27,850.00","28,000.00","27,650.00","27,850.00",50.00,0.00,"9,614,300.00"
11/02/2026,"26,750.00","27,950.00","26,650.00","27,800.00","1,000.00",0.04,"29,253,800.00"
10/02/2026,"26,850.00","26,900.00","26,000.00","26,800.00",0.00,0.00,"12,368,700.00"
09/02/2026,"26,750.00","26,800.00","26,250.00","26,800.00",300.00,0.01,"13,142,300.00"
06/02/2026,"27,200.00","27,500.00","26,500.00","26,500.00","-1,050.00",-0.04,"27,190,700.00"
05/02/2026,"27,550.00","27,900.00","27,250.00","27,550.00",0.00,0.00,"17,052,600.00"
04/02/2026,"27,550.00","27,600.00","27,200.00","27,550.00",0.00,0.00,"13,382,500.00"
03/02/2026,"27,900.00","28,000.00","27,350.00","27,550.00",-250.00,-0.01,"20,463,600.00"
02/02/2026,"28,000.00","28,250.00","27,250.00","27,800.00",-500.00,-0.02,"16,113,700.00"
30/01/2026,"27,900.00","28,400.00","27,800.00","28,300.00",450.00,0.02,"15,990,600.00"
29/01/2026,"28,550.00","28,600.00","27,800.00","27,850.00",-650.00,-0.02,"13,587,000.00"
28/01/2026,"28,500.00","28,850.00","28,350.00","28,500.00",-500.00,-0.02,"24,360,600.00"
27/01/2026,"28,350.00","29,000.00","27,800.00","29,000.00",650.00,0.02,"15,743,500.00"
26/01/2026,"29,400.00","29,400.00","28,300.00","28,350.00","-1,250.00",-0.04,"11,703,400.00"
23/01/2026,"29,250.00","29,600.00","28,650.00","29,600.00",400.00,0.01,"16,077,900.00"
22/01/2026,"29,100.00","29,750.00","29,050.00","29,200.00",150.00,0.01,"18,695,900.00"
21/01/2026,"28,650.00","30,000.00","28,300.00","29,050.00",100.00,0.00,"24,503,900.00"
20/01/2026,"29,000.00","29,800.00","28,750.00","28,950.00",200.00,0.01,"19,555,100.00"
19/01/2026,"28,500.00","29,000.00","28,200.00","28,750.00",300.00,0.01,"16,574,300.00"
16/01/2026,"29,500.00","29,500.00","28,450.00","28,450.00","-1,100.00",-0.04,"15,902,500.00"
15/01/2026,"27,500.00","29,550.00","26,800.00","29,550.00","1,900.00",0.07,"32,989,100.00"
14/01/2026,"28,500.00","28,500.00","27,550.00","27,650.00",-800.00,-0.03,"21,961,000.00"
13/01/2026,"28,200.00","28,450.00","28,000.00","28,450.00",250.00,0.01,"16,194,800.00"
12/01/2026,"27,700.00","28,350.00","27,250.00","28,200.00",300.00,0.01,"23,631,100.00"
09/01/2026,"28,850.00","29,100.00","27,500.00","27,900.00",-900.00,-0.03,"29,852,300.00"
08/01/2026,"29,150.00","29,200.00","28,500.00","28,800.00",-300.00,-0.01,"17,601,200.00"
07/01/2026,"29,050.00","29,550.00","28,350.00","29,100.00",50.00,0.00,"23,080,000.00"
06/01/2026,"28,800.00","29,050.00","28,100.00","29,050.00",100.00,0.00,"14,635,600.00"
05/01/2026,"29,500.00","29,500.00","28,000.00","28,950.00",-750.00,-0.03,"24,967,900.00"
31/12/2025,"27,800.00","29,700.00","27,750.00","29,700.00","1,750.00",0.06,"43,989,500.00"
30/12/2025,"27,600.00","27,950.00","27,000.00","27,950.00",350.00,0.01,"29,039,500.00"
29/12/2025,"27,700.00","27,700.00","27,150.00","27,600.00",0.00,0.00,"14,634,000.00"
26/12/2025,"27,000.00","28,000.00","26,800.00","27,600.00",50.00,0.00,"21,297,400.00"
25/12/2025,"27,700.00","27,900.00","26,950.00","27,550.00",-300.00,-0.01,"16,421,500.00"
24/12/2025,"27,550.00","28,000.00","27,400.00","27,850.00",350.00,0.01,"25,185,800.00"
23/12/2025,"27,000.00","28,000.00","26,950.00","27,500.00",500.00,0.02,"32,590,800.00"
22/12/2025,"26,000.00","27,100.00","25,750.00","27,000.00","1,050.00",0.04,"39,574,300.00"
19/12/2025,"25,600.00","26,000.00","25,450.00","25,950.00",350.00,0.01,"21,301,200.00"
18/12/2025,"25,000.00","26,000.00","24,750.00","25,600.00",850.00,0.03,"27,159,300.00"
17/12/2025,"24,674.22","25,098.31","24,442.90","24,751.33",0.00,0.00,"31,970,800.00"
16/12/2025,"23,170.64","24,751.33","23,016.42","24,751.33","2,100.00",0.07,"22,023,100.00"
15/12/2025,"23,324.85","23,440.51","23,054.98","23,132.08",-200.00,-0.01,"15,992,700.00"
12/12/2025,"24,520.01","24,597.12","23,286.30","23,286.30","-1,550.00",-0.05,"17,587,400.00"
11/12/2025,"24,828.44","24,866.99","24,365.80","24,481.46",-400.00,-0.01,"7,041,800.00"
10/12/2025,"24,905.54","25,445.29","24,365.80","24,789.88",650.00,0.02,"25,674,400.00"
09/12/2025,"25,175.42","25,175.42","24,288.69","24,288.69","-1,250.00",-0.04,"22,892,400.00"
08/12/2025,"25,329.63","25,406.74","24,982.65","25,252.53",-200.00,-0.01,"10,114,700.00"
05/12/2025,"25,445.29","25,445.29","25,021.20","25,406.74",0.00,0.00,"9,205,900.00"
04/12/2025,"25,291.08","25,522.40","24,982.65","25,406.74",700.00,0.02,"15,130,300.00"
03/12/2025,"24,674.22","25,059.76","24,481.46","24,866.99",250.00,0.01,"19,599,900.00"
02/12/2025,"24,288.69","24,674.22","23,864.60","24,674.22",500.00,0.02,"16,531,800.00"
01/12/2025,"24,712.78","24,712.78","24,250.13","24,288.69",-500.00,-0.02,"7,633,801.00"
28/11/2025,"24,597.12","24,674.22","24,250.13","24,674.22",0.00,0.00,"14,440,801.00"
27/11/2025,"25,021.20","25,021.20","24,365.80","24,674.22",-300.00,-0.01,"12,702,600.00"
26/11/2025,"24,520.01","24,905.54","24,365.80","24,905.54",500.00,0.02,"14,640,700.00"
25/11/2025,"24,095.92","24,751.33","24,095.92","24,520.01",700.00,0.02,"57,307,300.00"
24/11/2025,"24,134.47","24,674.22","23,941.71","23,980.26",-100.00,0.00,"17,902,700.00"
21/11/2025,"24,404.35","24,558.56","23,903.15","24,057.37",-600.00,-0.02,"48,698,700.00"
20/11/2025,"24,211.58","24,597.12","24,057.37","24,520.01",500.00,0.02,"24,074,900.00"
19/11/2025,"23,517.62","24,288.69","23,132.08","24,134.47",850.00,0.03,"25,036,700.00"
18/11/2025,"23,247.74","23,517.62","23,132.08","23,479.07",400.00,0.01,"20,233,401.00"
17/11/2025,"23,132.08","23,517.62","22,977.87","23,170.64",200.00,0.01,"18,147,901.00"
14/11/2025,"23,016.42","23,132.08","22,746.55","23,016.42",-100.00,0.00,"28,290,200.00"
13/11/2025,"23,132.08","23,247.74","22,900.76","23,093.53",-50.00,0.00,"12,081,700.00"
12/11/2025,"22,900.76","23,209.19","22,592.34","23,132.08",400.00,0.01,"18,585,301.00"
11/11/2025,"22,823.66","22,900.76","22,399.57","22,823.66",0.00,0.00,"16,087,100.00"
10/11/2025,"23,054.98","23,170.64","22,592.34","22,823.66",-400.00,-0.01,"16,970,500.00"
07/11/2025,"23,093.53","23,247.74","22,553.78","23,132.08",-100.00,0.00,"22,688,600.00"
06/11/2025,"23,980.26","23,980.26","23,170.64","23,209.19",-950.00,-0.03,"13,672,600.00"
05/11/2025,"23,980.26","24,520.01","23,748.94","23,941.71",-50.00,0.00,"9,484,600.00"
04/11/2025,"23,556.17","23,980.26","22,553.78","23,980.26",550.00,0.02,"34,543,800.00"
03/11/2025,"24,674.22","24,751.33","23,517.62","23,556.17","-1,450.00",-0.05,"26,640,100.00"
31/10/2025,"25,869.38","25,869.38","24,674.22","24,674.22","-1,400.00",-0.04,"25,068,800.00"
30/10/2025,"25,792.27","26,486.24","25,599.51","25,753.72",0.00,0.00,"23,784,200.00"
29/10/2025,"25,021.20","26,293.47","24,944.10","25,753.72","1,200.00",0.04,"34,743,500.00"
28/10/2025,"23,556.17","24,828.44","23,556.17","24,828.44","1,100.00",0.04,"20,882,423.00"
27/10/2025,"25,406.74","25,406.74","23,980.26","23,980.26","-1,600.00",-0.05,"23,858,400.00"
24/10/2025,"25,252.53","25,483.85","24,674.22","25,213.97",-300.00,-0.01,"19,718,100.00"
23/10/2025,"25,021.20","26,409.13","24,982.65","25,445.29",500.00,0.02,"49,594,900.00"
22/10/2025,"25,059.76","25,098.31","24,442.90","25,059.76",150.00,0.00,"18,939,900.00"
21/10/2025,"23,440.51","24,944.10","23,440.51","24,944.10","2,100.00",0.07,"31,997,900.00"
20/10/2025,"24,674.22","24,828.44","23,324.85","23,324.85","-2,250.00",-0.07,"38,820,800.00"
17/10/2025,"25,869.38","25,869.38","25,059.76","25,059.76",-900.00,-0.03,"21,529,000.00"
16/10/2025,"25,638.06","25,753.72","25,368.19","25,753.72",300.00,0.01,"27,738,979.00"
15/10/2025,"25,136.86","25,907.93","25,059.76","25,522.40",450.00,0.01,"31,173,401.00"
14/10/2025,"25,368.19","25,792.27","24,751.33","25,175.42",0.00,0.00,"36,016,101.00"
13/10/2025,"24,250.13","25,175.42","24,173.03","25,175.42",800.00,0.03,"38,899,300.00"
10/10/2025,"24,597.12","24,635.67","24,442.90","24,558.56",200.00,0.01,"15,290,501.00"
09/10/2025,"24,250.13","24,558.56","24,057.37","24,404.35",200.00,0.01,"18,846,800.00"
08/10/2025,"24,442.90","24,442.90","23,903.15","24,250.13",150.00,0.00,"19,751,400.00"
07/10/2025,"24,481.46","24,481.46","24,018.81","24,134.47",-200.00,-0.01,"21,193,000.00"
06/10/2025,"23,517.62","24,520.01","23,401.96","24,288.69","1,300.00",0.04,"34,774,200.00"
03/10/2025,"23,748.94","23,787.49","23,286.30","23,286.30",-650.00,-0.02,"9,573,800.00"
02/10/2025,"23,903.15","24,134.47","23,594.73","23,787.49",-50.00,0.00,"14,170,800.00"
01/10/2025,"23,903.15","23,980.26","23,671.83","23,826.05",-100.00,0.00,"10,748,200.00"
30/09/2025,"23,671.83","23,903.15","23,247.74","23,903.15",100.00,0.00,"14,956,400.00"
29/09/2025,"23,247.74","23,980.26","22,977.87","23,826.05",750.00,0.02,"13,706,000.00"
26/09/2025,"23,903.15","23,941.71","23,247.74","23,247.74",-850.00,-0.03,"12,495,800.00"
25/09/2025,"24,288.69","24,365.80","23,826.05","23,903.15",300.00,0.01,"16,075,600.00"
24/09/2025,"22,206.80","23,671.83","21,782.71","23,671.83","2,000.00",0.07,"25,056,700.00"
23/09/2025,"22,399.57","22,592.34","22,129.69","22,129.69",-300.00,-0.01,"12,092,100.00"
22/09/2025,"23,286.30","23,286.30","22,361.01","22,361.01","-1,200.00",-0.04,"20,494,800.00"
19/09/2025,"23,594.73","23,594.73","23,132.08","23,286.30",-500.00,-0.02,"15,895,376.00"
18/09/2025,"23,864.60","23,864.60","23,286.30","23,671.83",-200.00,-0.01,"14,096,801.00"
17/09/2025,"24,057.37","24,095.92","23,826.05","23,826.05",-400.00,-0.01,"9,467,800.00"
16/09/2025,"24,211.58","24,327.24","23,826.05","24,134.47",50.00,0.00,"18,396,800.00"
15/09/2025,"24,288.69","24,365.80","23,941.71","24,095.92",-250.00,-0.01,"17,266,701.00"
12/09/2025,"24,288.69","24,327.24","23,941.71","24,288.69",0.00,0.00,"12,652,000.00"
11/09/2025,"24,057.37","24,365.80","23,517.62","24,288.69",-100.00,0.00,"13,244,200.00"
10/09/2025,"24,365.80","24,404.35","23,864.60","24,365.80",50.00,0.00,"14,970,749.00"
09/09/2025,"23,671.83","24,327.24","23,556.17","24,327.24",650.00,0.02,"16,258,200.00"
08/09/2025,"24,597.12","24,635.67","23,517.62","23,826.05","-1,400.00",-0.04,"31,177,200.00"
05/09/2025,"25,830.83","25,869.38","24,597.12","24,905.54",-850.00,-0.03,"23,178,800.00"
04/09/2025,"25,560.95","25,599.51","25,098.31","25,560.95",50.00,0.00,"21,081,901.00"
03/09/2025,"25,830.83","25,869.38","25,445.29","25,522.40",-350.00,-0.01,"15,109,600.00"
29/08/2025,"25,368.19","26,062.15","25,213.97","25,792.27",950.00,0.03,"29,429,100.00"
28/08/2025,"25,059.76","25,098.31","24,481.46","25,059.76",50.00,0.00,"23,349,100.00"
27/08/2025,"25,368.19","25,445.29","24,712.78","25,021.20",150.00,0.00,"17,014,600.00"
26/08/2025,"24,134.47","24,905.54","23,864.60","24,905.54","1,000.00",0.03,"13,202,401.00"
25/08/2025,"25,368.19","25,368.19","23,556.17","24,134.47","-1,050.00",-0.03,"23,609,800.00"
22/08/2025,"25,638.06","25,638.06","24,288.69","24,944.10",-900.00,-0.03,"30,878,400.00"
21/08/2025,"24,674.22","26,177.81","24,674.22","25,638.06","1,400.00",0.04,"38,941,000.00"
20/08/2025,"25,136.86","25,252.53","23,864.60","24,558.56",-650.00,-0.02,"31,215,301.00"
19/08/2025,"23,826.05","25,136.86","23,633.28","25,059.76","2,000.00",0.07,"38,696,300.00"
18/08/2025,"24,057.37","24,057.37","23,132.08","23,517.62",-500.00,-0.02,"28,646,584.00"
15/08/2025,"24,404.35","24,442.90","23,440.51","23,903.15",50.00,0.00,"37,673,400.00"
14/08/2025,"23,054.98","23,864.60","22,515.23","23,864.60","2,000.00",0.07,"66,657,400.00"
13/08/2025,"22,669.44","22,708.00","21,936.93","22,322.46",50.00,0.00,"30,234,700.00"
12/08/2025,"21,589.95","22,322.46","21,512.84","22,283.91","1,000.00",0.04,"31,359,401.00"
11/08/2025,"21,859.82","21,859.82","21,512.84","21,512.84",-150.00,-0.01,"29,644,001.00"
08/08/2025,"22,052.59","22,129.69","21,512.84","21,628.50",-450.00,-0.02,"25,735,221.00"
07/08/2025,"22,129.69","22,129.69","21,551.39","21,975.48",250.00,0.01,"32,444,102.00"
06/08/2025,"21,975.48","22,052.59","21,589.95","21,782.71",350.00,0.01,"17,689,500.00"
05/08/2025,"22,129.69","22,438.12","20,818.88","21,512.84",-100.00,0.00,"36,137,600.00"
04/08/2025,"20,857.43","21,589.95","20,741.77","21,589.95","1,000.00",0.04,"22,838,600.00"
01/08/2025,"20,394.79","20,934.54","20,356.23","20,818.88",550.00,0.02,"23,544,500.00"
31/07/2025,"20,934.54","21,320.07","20,009.25","20,394.79",-200.00,-0.01,"33,174,601.00"
30/07/2025,"20,433.34","20,664.66","19,855.04","20,549.00",150.00,0.01,"21,088,700.00"
29/07/2025,"21,898.37","21,898.37","20,433.34","20,433.34","-1,950.00",-0.07,"37,832,000.00"
28/07/2025,"21,859.82","22,553.78","21,512.84","21,936.93",200.00,0.01,"26,536,700.00"
25/07/2025,"21,281.52","21,898.37","21,127.30","21,782.71",650.00,0.02,"26,496,300.00"
24/07/2025,"20,934.54","21,859.82","20,703.22","21,281.52","1,100.00",0.04,"74,251,800.00"
23/07/2025,"19,816.49","20,587.55","19,777.93","20,433.34","1,050.00",0.04,"35,693,700.00"
22/07/2025,"18,891.20","19,623.72","18,775.54","19,623.72",950.00,0.04,"33,332,100.00"
21/07/2025,"18,891.20","19,006.86","18,736.99","18,891.20",100.00,0.00,"21,034,900.00"
18/07/2025,"18,852.65","18,891.20","18,582.77","18,814.10",50.00,0.00,"20,748,500.00"
17/07/2025,"18,775.54","18,852.65","18,621.33","18,775.54",100.00,0.00,"21,370,100.00"
16/07/2025,"18,621.33","18,736.99","18,582.77","18,698.43",100.00,0.00,"14,327,500.00"
15/07/2025,"18,814.10","19,083.97","18,621.33","18,621.33",-250.00,-0.01,"43,604,600.00"
14/07/2025,"18,891.20","18,891.20","18,544.22","18,814.10",-50.00,0.00,"17,079,301.00"
11/07/2025,"18,775.54","18,852.65","18,467.11","18,852.65",100.00,0.00,"19,947,300.00"
10/07/2025,"18,775.54","18,814.10","18,544.22","18,775.54",150.00,0.01,"18,394,701.00"
09/07/2025,"18,197.24","19,045.42","18,120.13","18,659.88",700.00,0.03,"39,764,001.00"
08/07/2025,"18,043.03","18,158.69","17,927.37","18,120.13",200.00,0.01,"17,331,201.00"
07/07/2025,"17,464.72","17,965.92","17,426.17","17,965.92",750.00,0.03,"27,588,700.00"
04/07/2025,"17,464.72","17,580.38","17,271.96","17,387.62",0.00,0.00,"13,207,400.00"
03/07/2025,"17,194.85","17,541.83","17,117.74","17,387.62",250.00,0.01,"22,733,700.00"
02/07/2025,"17,079.19","17,349.06","17,002.08","17,194.85",200.00,0.01,"19,351,900.00"
01/07/2025,"16,847.87","17,194.85","16,809.31","17,040.64",300.00,0.01,"39,957,800.00"
30/06/2025,"16,809.31","16,886.42","16,770.76","16,809.31",0.00,0.00,"8,362,700.00"
27/06/2025,"16,770.76","16,886.42","16,655.10","16,809.31",100.00,0.00,"10,137,100.00"
26/06/2025,"16,847.87","16,886.42","16,655.10","16,732.21",-100.00,0.00,"59,590,802.00"
25/06/2025,"16,963.53","17,002.08","16,809.31","16,809.31",-150.00,-0.01,"11,739,900.00"
24/06/2025,"17,040.64","17,117.74","16,886.42","16,924.97",0.00,0.00,"25,304,002.00"
23/06/2025,"16,963.53","17,040.64","16,847.87","16,924.97",-200.00,-0.01,"14,879,600.00"
20/06/2025,"17,002.08","17,233.40","16,924.97","17,079.19",150.00,0.01,"18,097,904.00"
19/06/2025,"16,963.53","17,079.19","16,847.87","16,963.53",50.00,0.00,"8,180,401.00"
18/06/2025,"16,886.42","17,040.64","16,809.31","16,924.97",50.00,0.00,"17,248,000.00"
17/06/2025,"16,847.87","16,924.97","16,732.21","16,886.42",150.00,0.01,"13,083,600.00"
16/06/2025,"16,616.55","16,847.87","16,539.44","16,770.76",150.00,0.01,"11,085,600.00"
13/06/2025,"16,655.10","16,770.76","16,462.33","16,655.10",-150.00,-0.01,"12,407,900.00"
12/06/2025,"16,577.99","16,809.31","16,539.44","16,770.76",350.00,0.02,"10,074,000.00"
11/06/2025,"16,616.55","16,616.55","16,462.33","16,500.89",-100.00,0.00,"8,491,201.00"
10/06/2025,"16,577.99","16,770.76","16,500.89","16,577.99",50.00,0.00,"8,468,902.00"
09/06/2025,"16,809.31","16,809.31","16,539.44","16,539.44",-350.00,-0.02,"7,740,200.00"
06/06/2025,"16,616.55","16,809.31","16,539.44","16,809.31",150.00,0.01,"10,159,901.00"
05/06/2025,"16,847.87","16,886.42","16,616.55","16,693.65",-200.00,-0.01,"11,646,700.00"
04/06/2025,"16,924.97","16,963.53","16,770.76","16,847.87",0.00,0.00,"7,838,500.00"
03/06/2025,"16,693.65","17,002.08","16,655.10","16,847.87",250.00,0.01,"21,717,600.00"
02/06/2025,"16,616.55","16,770.76","16,500.89","16,655.10",-100.00,0.00,"10,689,301.00"
30/05/2025,"17,040.64","17,079.19","16,732.21","16,732.21",-350.00,-0.02,"29,909,000.00"
29/05/2025,"17,194.85","17,387.62","17,002.08","17,002.08",-200.00,-0.01,"13,724,800.00"
28/05/2025,"17,464.72","17,503.28","17,156.30","17,156.30",-350.00,-0.02,"13,490,500.00"
27/05/2025,"17,426.17","17,541.83","17,349.06","17,426.17",0.00,0.00,"9,757,700.00"
26/05/2025,"17,117.74","17,426.17","17,079.19","17,426.17",500.00,0.02,"22,364,700.00"
23/05/2025,"17,040.64","17,156.30","16,963.53","17,040.64",50.00,0.00,"15,051,002.00"
